protocol_name,date_of_attack,amount_lost,attack_type
Mosaic,10/24/2020,102500,Fraud Rug Pull
Cakelock,02/25/2021,4230,Fraud Rug Pull
TruAmpl,08/25/2020,693000,Fraud Rug Pull
Data Transaction Token,09/25/2020,2400000,ICO Scam
Hatch DAO,09/25/2020,4319,Fraud Rug Pull
Magix,12/25/2020,6000,Fraud Rug Pull
Metropolis,12/25/2020,38750,Fraud Rug Pull
Veritaseum,07/26/2017,8400000,Private Key Compromise
Furucombo,02/26/2021,14000000,Infinite Approval
PopcornSwap,01/27/2021,2000000,Fraud Rug Pull
Safestorm,03/27/2021,24300,Fraud Rug Pull
Santa DAO,10/27/2020,3456,Fraud Rug Pull
ThunderSwap,02/28/2020,46500,Fraud Rug Pull
BitClave,05/28/2020,25500000,ICO Scam
bitqy/bitqyM,08/29/2019,13000000,ICO Scam
Dark Matter,12/29/2020,3000,Fraud Rug Pull
Oyster,10/30/2018,300000,Fraud Rug Pull
UniDark,11/30/2020,35000,Fraud Rug Pull
Exeedme,12/30/2020,560000,Fraud Rug Pull
YYFI,07/31/2020,,Fraud Rug Pull
Amplyfi,7/31/2020,850000,Fraud Rug Pull
DEOR,4/6/2021,600000,Fraud Rug Pull
IYF,3/7/2021,2000000,Fraud Rug Pull
iBase,,130000,ICO Scam
RChain,,300000,Other
Veritaseum,,14800000,ICO Scam
X-Token,,28000000,
Microbit,01/01/2021,,Fraud Rug Pull
SharkTron,09/11/2020,26000000,Fraud Rug Pull
Leverage X,02/25/2021,250000,Fraud Rug Pull
Merkle Tree Ventures,,,
StableMagnet,06/23/2021,22000000,Fraud Rug Pull
Tether,,30950010,
Eleven Finance,06/23/2021,4500000,Mint Exploit
Alchemix,06/18/2021,6500000,Smart Contract Exploit
Safe Dollar,06/18/2021,250000,Mint Exploit
Yearn Finance,06/26/2021,259000,Smart Contract Bug
Visor,06/19/2021,500000,Private Key Compromise
Polybutterfly,,,
StableMagnet,,,
Polyorca,,,
Beetsfarm,,,
Aurafi,,,
Belt Finance,5/29/21,6200000,Flash Loan Hack
STRD Finance,,,
cretaceous.space,,,
Missile Finance,,,
Pumaswap,,,
Boobs,,,
Ogre,,,
Croco,,,
Warden,,,
Pablo Escobar,,,
Pull dog swap,,,
MoltenSwap,,,
WhaleSwap,,,
DiceSwap,,,
KoiSwap,,,
Chaddy,,,
SheepSwap,,,
Demeterfinance.org,,,
Durian,,,
https://sailorswap.io/sale,,,
https://sf2.safufinance.xyz/,,,
https://dragon-fly.finance/#/,,,
Rumstaking.com,,,
https://original.finance/,,,
Finite,,,
Bacon,,,
Croco,,,
Neonic,,,
Ela,,,
BNBdivs,,,
Sexyapy.com,,,
https://axedefi.com/,,,
https://seashell.finance,,,
Bearn.Fi,5/16/21,11000000,Smart Contract Exploit
yCredit,1/1/2021,11000000,Mint Exploit
Yield Finance,2/27/21,166000,Whitehat
Zerion,3/4/2021,30000,Other
Sil finance,3/18/21,12200000,Smart Contract Exploit
Polkatrain,4/4/2021,3000000,Smart Contract Exploit
Pancake Swap,3/15/21,1800000,Smart Contract Exploit
Value DeFi,5/7/2021,11000000,Smart Contract Exploit
Venus,5/18/21,300000000,Smart Contract Exploit
Bogged,5/22/21,3600000,Flash Loan Hack
Merlin,5/26/21,680000,Mint Exploit
Wild Credit,5/27/21,637000,Smart Contract Exploit
Alchemix,6/6/2021,50000,Smart Contract Bug
Impossible Finance,6/21/21,500000,Flash Loan Hack
Uranium Finance,4/7/2021,1500000,Smart Contract Exploit
Value DeFi,5/6/2021,10000000,Smart Contract Exploit
Hotdogcart Finance,6/29/21,22000,Fraud Rug Pull
Merlin,6/29/21,300000,Smart Contract Exploit
Poly Network,8/11/2021,611000000,Other
Cream Finance,08/30/2021,18800000,Reentrancy
X-Token,08/30/2021,4500000,Flash Loan Hack
Punk Protocol,08/13/21,8950000,Smart Contract Exploit
Tomb Finance,9/3/2021,,
Dao Maker,9/6/2021,4000000,Smart Contract Exploit
Compound,09/29/21,147000000,Smart Contract Bug
Compound,10/04/21,68800000,Smart Contract Bug
Indexed Finance,10/15/2021,16000000,Other
Cream Finance,10/27/2021,130000000,Flash Loan Hack
AnubisDAO,10/29/21,60000000,Fraud Rug Pull
SQUID,11/01/2021,3400000,Fraud Rug Pull
bZx,11/05/2021,55040167,Private Key Compromise
Curve Finance,11/11/2021,30000000,Other
Vesper Finance,11/03/2021,3000000,Oracle Manipulation
BXH,10/30/2021,139195315,Private Key Compromise
AutoShark Finance,10/29/2021,2000000,Flash Loan Hack
Avaterra Finance,10/21/2021,,Mint Exploit
Pancake Bunny,10/20/2021,,Flash Loan Hack
Glide Finance,10/18/2021,300000,Smart Contract Bug
Cream Finance,02/13/2021,37500000,Flash Loan Hack
Nerve,,,
Bitinex,09/27/2021,,Other
pNetwork,09/20/2021,,
Vee Finance,09/20/2021,,Other
Nowswap,09/15/2021,1000000,
Saddle Finance,01/19/2021,275000,Other
SushiSwap,01/20/2021,100000,Smart Contract Exploit
Snowdog,11/26/2021,,Fraud Rug Pull
MonoX,11/30/2021,,Other
BadgerDAO,12/02/2021,,Infinite Approval
Bitmart,12/05/2021,,Other
